X Displacement, Y Displacement
4.349158127864643380e-17,1.676380634307861302e-16
5.155674365512735724e-02,2.586743794617083272e-02
2.411308804820186391e-01,-9.648492052026544363e-02
6.349631310510640836e-02,4.807671396021707261e-02
8.539584318499875149e-02,7.155506882264037194e-02
